73k, train_mse: 0.00011966545, test1_mse: 0.00012215691, test2_mse: 7.678476e-05
74k, train_mse: 0.000117743184, test1_mse: 0.00011903145, test2_mse: 7.033988e-05
75k, train_mse: 0.00012514298, test1_mse: 0.00012769394, test2_mse: 7.9689366e-05
76k, train_mse: 0.00011450157, test1_mse: 0.00011490814, test2_mse: 7.135825e-05
77k, train_mse: 0.00011419192, test1_mse: 0.00011577777, test2_mse: 7.1273855e-05
78k, train_mse: 0.00011810665, test1_mse: 0.000119130855, test2_mse: 8.444867e-05
79k, train_mse: 0.00011576404, test1_mse: 0.000116266325, test2_mse: 7.033452e-05
80k, train_mse: 0.00011652656, test1_mse: 0.000119875614, test2_mse: 7.718463e-05
81k, train_mse: 0.0001223294, test1_mse: 0.000124585, test2_mse: 8.178697e-05
82k, train_mse: 0.000117742566, test1_mse: 0.00011815906, test2_mse: 7.871173e-05
83k, train_mse: 0.00010493382, test1_mse: 0.000105512474, test2_mse: 6.9646616e-05
84k, train_mse: 0.000109661625, test1_mse: 0.000111663874, test2_mse: 6.822298e-05
85k, train_mse: 0.000117942065, test1_mse: 0.00011930013, test2_mse: 7.173271e-05
86k, train_mse: 0.00012175065, test1_mse: 0.00012121795, test2_mse: 6.97974e-05
87k, train_mse: 0.00010498886, test1_mse: 0.00010739195, test2_mse: 6.2077976e-05
88k, train_mse: 0.00014615936, test1_mse: 0.00014786099, test2_mse: 7.495969e-05
89k, train_mse: 9.5512274e-05, test1_mse: 9.842918e-05, test2_mse: 5.8708505e-05
90k, train_mse: 0.000119285076, test1_mse: 0.0001180498, test2_mse: 7.6447686e-05
91k, train_mse: 0.00011805608, test1_mse: 0.00011854667, test2_mse: 7.309165e-05
92k, train_mse: 0.00010502285, test1_mse: 0.00010468348, test2_mse: 6.5412525e-05
93k, train_mse: 0.000107047126, test1_mse: 0.000108987544, test2_mse: 7.25595e-05
94k, train_mse: 0.00010936726, test1_mse: 0.00010953632, test2_mse: 7.674945e-05
95k, train_mse: 0.00010624105, test1_mse: 0.000107556014, test2_mse: 7.3784584e-05
96k, train_mse: 0.00013891206, test1_mse: 0.00014242422, test2_mse: 9.834402e-05
97k, train_mse: 0.00010795709, test1_mse: 0.00010841552, test2_mse: 6.9504e-05
98k, train_mse: 0.00010390709, test1_mse: 0.00010457746, test2_mse: 6.632547e-05
99k, train_mse: 0.00010576084, test1_mse: 0.00010660277, test2_mse: 7.172221e-05
100k, train_mse: 0.00011316324, test1_mse: 0.000113934155, test2_mse: 6.5501845e-05
101k, train_mse: 0.00010147491, test1_mse: 0.000102503494, test2_mse: 6.4633496e-05
102k, train_mse: 0.000122598, test1_mse: 0.00012211839, test2_mse: 7.207782e-05
103k, train_mse: 0.00010757734, test1_mse: 0.00010900932, test2_mse: 6.901654e-05
104k, train_mse: 0.000105411236, test1_mse: 0.000107809814, test2_mse: 7.2949486e-05
105k, train_mse: 0.00010478159, test1_mse: 0.00010589827, test2_mse: 7.0045506e-05
106k, train_mse: 0.00010122137, test1_mse: 0.000103042905, test2_mse: 6.1023486e-05
107k, train_mse: 0.00010002069, test1_mse: 0.000102345, test2_mse: 6.243879e-05
108k, train_mse: 0.00010633477, test1_mse: 0.00010801499, test2_mse: 6.367763e-05
109k, train_mse: 9.808641e-05, test1_mse: 9.960795e-05, test2_mse: 6.167821e-05
110k, train_mse: 0.00012186412, test1_mse: 0.0001258961, test2_mse: 9.9545876e-05
